Designator,Mid X,Mid Y,Rotation,Layer
C1,123.8,-68.925,270.0,top
C2,122.1,-68.925,270.0,top
C3,120.5,-68.925,270.0,top
C4,131.6,-79.6,90.0,top
C5,128.4,-66.2,180.0,top
D1,128.3875,-71.2,0.0,top
D2,128.4,-69.5,0.0,top
J1,127.2,-91.8,0.0,top
J2,114.3,-67.315,0.0,bottom
J3,139.7,-67.31,0.0,bottom
R1,133.4,-85.5,270.0,top
R2,120.7,-85.4,270.0,top
R3,131.8,-66.2,180.0,top
R4,131.8,-71.25,180.0,top
R5,131.8,-69.5,180.0,top
SW1,118.9,-90.0,90.0,top
SW2,135.2,-90.0,90.0,top
U2,127.0,-51.25,0.0,top
U3,126.8,-77.3,270.0,top
